,store_city,store_state,store_number,store_zip,store_address,quantity,stock_amount,item_number,update_date
0,Tempe,AZ,209,85284,2110 West IKEA Way,28,HIGH_IN_STOCK,90473151,2021-12-22
1,Burbank,CA,399,91502,600 Ikea Way,19,HIGH_IN_STOCK,90473151,2021-12-22
2,Carson,CA,162,90746,20700 S Avalon Blvd,0,OUT_OF_STOCK,90473151,2021-12-22
3,Costa Mesa,CA,167,92626,1475 S Coast Dr,39,HIGH_IN_STOCK,90473151,2021-12-22
4,Covina,CA,413,91723,848 South Barranca Avenue,49,HIGH_IN_STOCK,90473151,2021-12-22
5,East Palo Alto,CA,347,94303,1700 E. Bayshore Road,9,HIGH_IN_STOCK,90473151,2021-12-22
6,Emeryville,CA,165,94608,4400 Shellmound St,23,HIGH_IN_STOCK,90473151,2021-12-22
7,San Diego,CA,166,92108,2149 Fenton Pkwy,55,HIGH_IN_STOCK,90473151,2021-12-22
8,West Sacramento,CA,157,95605,700 Ikea Ct,45,HIGH_IN_STOCK,90473151,2021-12-22
9,Centennial,CO,064,80112,9800 E. IKEA Way,5,HIGH_IN_STOCK,90473151,2021-12-22
10,New Haven,CT,213,06511,450 Sargent Dr,47,HIGH_IN_STOCK,90473151,2021-12-22
11,Jacksonville,FL,537,32256,7801 Gate Parkway,34,HIGH_IN_STOCK,90473151,2021-12-22
12,Miami,FL,327,33172,1801 NW 117th Ave,0,OUT_OF_STOCK,90473151,2021-12-21
13,Orlando,FL,145,32839,4092 Eastgate Dr,1,LOW_IN_STOCK,90473151,2021-12-22
14,Sunrise,FL,207,33325,151 NW 136th Ave,0,OUT_OF_STOCK,90473151,2021-12-21
15,Tampa,FL,042,33605,1103 N 22nd St,45,HIGH_IN_STOCK,90473151,2021-12-22
16,Atlanta,GA,257,30363,441 16th St NW,0,OUT_OF_STOCK,90473151,2021-12-21
17,Bolingbrook,IL,170,60440,750 E Boughton Rd,26,HIGH_IN_STOCK,90473151,2021-12-22
18,Schaumburg,IL,210,60173,1800 McConnor Pkwy,33,HIGH_IN_STOCK,90473151,2021-12-22
19,Fishers,IN,536,32322,11400 IKEA Way,10,HIGH_IN_STOCK,90473151,2021-12-22
20,Merriam,KS,374,66202,6000 Ikea Way,5,HIGH_IN_STOCK,90473151,2021-12-22
21,Stoughton,MA,158,02072,1 IKEA Way,0,OUT_OF_STOCK,90473151,2021-12-21
22,Baltimore,MD,152,21236,8352 Honeygo Blvd,13,MEDIUM_IN_STOCK,90473151,2021-12-22
23,College Park,MD,411,20740,10100 Baltimore Ave,0,OUT_OF_STOCK,90473151,2021-12-21
24,Canton,MI,026,48187,41640 Ford Rd,0,OUT_OF_STOCK,90473151,2021-12-22
25,Twin Cities,MN,212,55425,8000 Ikea Way,11,HIGH_IN_STOCK,90473151,2021-12-22
26,St. Louis,MO,410,63112,1 Ikea Way,26,HIGH_IN_STOCK,90473151,2021-12-22
27,Charlotte,NC,067,28262,8300 Ikea Blvd,41,HIGH_IN_STOCK,90473151,2021-12-22
28,Elizabeth,NJ,154,07201,1000 Ikea Dr,12,HIGH_IN_STOCK,90473151,2021-12-22
29,Paramus,NJ,409,07652,100 Ikea Dr,17,MEDIUM_IN_STOCK,90473151,2021-12-22
30,Las Vegas,NV,462,89148,6500 IKEA Way,36,HIGH_IN_STOCK,90473151,2021-12-22
31,Brooklyn,NY,921,11231,1 Beard St,87,HIGH_IN_STOCK,90473151,2021-12-22
32,Long Island,NY,156,11801,1100 Broadway Mall,7,HIGH_IN_STOCK,90473151,2021-12-22
33,Queens,NY,622,11374,96-05 Queens Blvd,0,OUT_OF_STOCK,90473151,2021-12-21
34,Upper East Side,NY,0,10022,999 Third Avenue,10,MEDIUM_IN_STOCK,90473151,2021-12-22
35,Columbus,OH,511,43240,1900 IKEA Way,83,HIGH_IN_STOCK,90473151,2021-12-22
36,West Chester,OH,175,45069,9500 IKEA Way,15,HIGH_IN_STOCK,90473151,2021-12-22
37,Portland,OR,028,97220,10280 NE Cascades Pkwy,11,HIGH_IN_STOCK,90473151,2021-12-22
38,Conshohocken,PA,211,19428,400 Alan Wood Road,0,OUT_OF_STOCK,90473151,2021-12-22
39,Pittsburgh,PA,153,15205,2001 Park Manor Blvd,3,MEDIUM_IN_STOCK,90473151,2021-12-22
40,South Philadelphia,PA,215,19148,2206 S Christopher Columbus Blvd,16,HIGH_IN_STOCK,90473151,2021-12-22
41,Memphis,TN,508,38016,7900 Ikea Way,0,OUT_OF_STOCK,90473151,2021-12-21
42,Frisco,TX,183,75034,7171 Ikea Dr,2,MEDIUM_IN_STOCK,90473151,2021-12-21
43,Grand Prairie,TX,535,75052,1000 IKEA Way,0,OUT_OF_STOCK,90473151,2021-12-21
44,Houston,TX,379,77024,7810 Katy Fwy,25,HIGH_IN_STOCK,90473151,2021-12-22
45,Live Oak,TX,570,78233,1000 IKEA RBFCU Parkway,6,HIGH_IN_STOCK,90473151,2021-12-22
46,Round Rock,TX,027,78665,1 Ikea Way,12,HIGH_IN_STOCK,90473151,2021-12-21
47,Draper,UT,103,84020,67 W Ikea Way,13,HIGH_IN_STOCK,90473151,2021-12-22
48,Norfolk,VA,569,23502,1500 IKEA Way,0,OUT_OF_STOCK,90473151,2021-12-21
49,Woodbridge,VA,168,22192,2901 Potomac Mills Cir,N/A,N/A,90473151,N/A
50,Renton,WA,488,98057,601 SW 41st St,33,HIGH_IN_STOCK,90473151,2021-12-22
51,Oak Creek,WI,560,53154,7500 S. IKEA Way,N/A,N/A,90473151,N/A
